Nom du Graphe.Graphe    	Temps_BellmanFord	Temps_Dijkstra    	Moy d'Arcs/Graphe.Noeud 	Ratio
Graphe405        	44570400         	13510700         	198,7            	156312,4184      
Graphe406        	56931300         	13297200         	197,9            	220505,2616      
Graphe407        	74442900         	14377700         	216,8            	277116,6349      
Graphe408        	66394900         	15151300         	210,7            	243203,6394      
Graphe409        	66430100         	18256900         	202,0            	238475,4432      
Graphe410        	49689300         	14329700         	204,8            	172626,8820      
Graphe411        	52103700         	16844600         	196,9            	179088,0596      
Graphe412        	54894500         	14189300         	215,2            	189145,8870      
Graphe413        	65441400         	14313500         	216,4            	236268,3425      
Graphe414        	55528500         	13820200         	207,6            	200943,3303      
Graphe415        	65102500         	15081200         	208,5            	239853,7584      
Graphe416        	68599000         	14035700         	203,6            	268048,6960      
Graphe417        	60979000         	14334100         	207,4            	224927,9338      
Graphe418        	56201600         	15777700         	212,7            	190072,5225      
Graphe419        	70204500         	14317900         	209,3            	266993,3911      
Graphe420        	60944500         	15515300         	204,9            	221739,1381      
Graphe421        	78868100         	14989000         	218,1            	292947,1508      
Graphe422        	48750600         	14693300         	214,6            	158707,2351      
Graphe423        	55378900         	14751000         	211,0            	192527,8196      
Graphe424        	65420000         	14927800         	215,7            	234073,0763      
Graphe425        	57768200         	15089700         	219,6            	194386,3413      
Graphe426        	55139000         	14649000         	205,1            	197440,1859      
Graphe427        	59231200         	15450000         	217,1            	201670,0289      
Graphe428        	56317900         	14805500         	218,0            	190411,6656      
Graphe429        	58717300         	15190700         	213,8            	203549,8090      
Graphe430        	50215900         	15295800         	202,3            	172581,0619      
Graphe431        	77162500         	15998200         	224,5            	272400,5338      
Graphe432        	69258500         	15590300         	216,3            	248175,3252      
Graphe433        	51658400         	15386000         	218,7            	165892,0863      
Graphe434        	66879400         	15375700         	218,1            	236096,5304      
Graphe435        	51910100         	14864800         	214,7            	172531,4246      
Graphe436        	86670100         	15843800         	226,5            	312746,1832      
Graphe437        	50829700         	15436500         	217,5            	162733,3215      
Graphe438        	70182200         	16132800         	227,4            	237729,4001      
Graphe439        	58301000         	15293500         	210,5            	204279,2557      
Graphe440        	51454600         	15578200         	214,3            	167407,7975      
Graphe441        	75276000         	17286800         	224,8            	257980,8351      
Graphe442        	59115800         	15958100         	210,9            	204597,8282      
Graphe443        	59622700         	15779000         	218,1            	200993,5768      
Graphe444        	59791200         	15788800         	218,1            	201717,2412      
Graphe445        	61540700         	16177300         	224,8            	201815,7731      
Graphe446        	80022400         	16460600         	226,5            	280673,0708      
Graphe447        	63332400         	16386000         	225,1            	208603,1747      
Graphe448        	60365400         	16106200         	215,9            	204969,0745      
Graphe449        	67404100         	17117500         	225,1            	223385,9306      
Graphe450        	70330000         	21143400         	232,9            	211203,5643      
Graphe451        	60142600         	16981300         	230,4            	187346,7503      
Graphe452        	68572300         	18409700         	225,4            	222548,3759      
Graphe453        	87056700         	17185800         	235,8            	296272,8277      
Graphe454        	61420800         	16352000         	218,0            	206737,6147      
Graphe455        	76131500         	17886200         	223,2            	260902,9542      
Graphe456        	72648600         	16904200         	227,9            	244581,9861      
Graphe457        	77374800         	17282300         	239,7            	250678,9677      
Graphe458        	82057600         	16810100         	218,0            	299261,6633      
Graphe459        	75508500         	19719000         	238,7            	233685,5067      
Graphe460        	74178600         	19255600         	234,1            	234585,6500      
Graphe461        	70028600         	18612600         	240,2            	214096,5366      
Graphe462        	88840100         	17782500         	235,6            	301540,3774      
Graphe463        	68027100         	19787100         	233,4            	206719,9941      
Graphe464        	76147500         	17692800         	227,9            	256467,1619      
Graphe465        	81072700         	19127300         	235,7            	262852,5641      
Graphe466        	69422100         	18097300         	234,6            	218811,2630      
Graphe467        	80549600         	18243800         	240,8            	258736,3108      
Graphe468        	67957400         	17876100         	234,5            	213527,5638      
Graphe469        	76222800         	17640600         	226,5            	258654,3946      
Graphe470        	77256600         	18359800         	234,3            	251402,0963      
Graphe471        	75459700         	19312700         	244,9            	229238,6859      
Graphe472        	74894900         	21595200         	249,7            	213458,1922      
Graphe473        	72638600         	19592800         	243,1            	218197,1735      
Graphe474        	73967200         	19018100         	245,4            	223917,2297      
Graphe475        	71176500         	18406000         	233,7            	225763,7428      
